country,traders
Nigeria,2066499
Kenya,1533386
South Africa,1178289
Brazil,1170166
Indonesia,960571
Pakistan,681356
Colombia,639382
Sri Lanka,494787
Zimbabwe,445884
Botswana,437465
India,384526
Jamaica,351028
Venezuela,284039
Bangladesh,241370
Mexico,239601
Tanzania,228073
Ghana,226607
Russia,221474
Ecuador,193638
Uganda,185798
Ukraine,179555
Argentina,159772
Cote d'Ivoire,151687
Zambia,151282
Benin,147368
Angola,133038
Bolivia,129823
Congo - Kinshasa,127926
Namibia,120004
Cameroon,114488
